age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente_pourcent,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
41,F,5993,Celibataire,Commercial,CadreCommercial,8,8,6,4,2,3,2,4,1,1,3,Oui,0.11,Oui,0,0,1,2,InfraCloud,Occasionnel,0,5
49,M,5130,Marie,Consulting,AssistantdeDirection,1,10,10,7,3,2,2,2,4,3,4,Non,0.23,Non,1,3,8,1,InfraCloud,Frequent,1,7
37,M,2090,Celibataire,Consulting,Consultant,6,7,0,0,4,2,1,3,2,3,3,Oui,0.15,Oui,0,3,2,2,Autre,Occasionnel,0,0
33,F,2909,Marie,Consulting,AssistantdeDirection,1,8,8,7,4,3,1,3,3,3,3,Oui,0.11,Non,0,3,3,4,InfraCloud,Frequent,3,0
27,M,3468,Marie,Consulting,Consultant,9,6,2,2,1,3,1,2,4,3,3,Non,0.12,Non,1,3,2,1,TransformationDigitale,Occasionnel,2,2
32,M,3068,Celibataire,Consulting,Consultant,0,8,7,7,4,3,1,4,3,2,3,Non,0.13,Non,0,2,2,2,InfraCloud,Frequent,3,6
59,F,2670,Marie,Consulting,Consultant,4,12,1,0,3,4,1,1,1,2,4,Oui,0.2,Non,3,3,3,3,TransformationDigitale,Occasionnel,0,0
30,M,2693,Divorce,Consulting,Consultant,1,1,1,0,4,3,1,3,2,3,4,Non,0.22,Non,1,2,24,1,InfraCloud,Occasionnel,0,0
38,M,9526,Celibataire,Consulting,TechLead,0,10,9,7,4,2,3,3,2,3,4,Non,0.21,Non,0,2,23,3,InfraCloud,Frequent,1,8
36,M,5237,Marie,Consulting,Manager,6,17,7,7,3,3,2,3,2,2,3,Non,0.13,Non,2,3,27,3,TransformationDigitale,Occasionnel,7,7
35,M,2426,Marie,Consulting,Consultant,0,6,5,4,1,4,1,2,3,3,3,Non,0.13,Non,1,5,16,3,TransformationDigitale,Occasionnel,0,3
29,F,4193,Celibataire,Consulting,Consultant,0,10,9,5,4,2,2,3,4,3,3,Oui,0.12,Non,0,3,15,2,InfraCloud,Occasionnel,0,8
31,M,2911,Divorce,Consulting,AssistantdeDirection,1,5,5,2,1,3,1,3,4,2,3,Non,0.17,Non,1,1,26,1,InfraCloud,Occasionnel,4,3
34,M,2661,Divorce,Consulting,Consultant,0,3,2,2,2,3,1,4,3,3,3,Non,0.11,Non,1,2,19,2,TransformationDigitale,Occasionnel,1,2
28,M,2028,Celibataire,Consulting,Consultant,5,6,4,2,3,2,1,3,2,3,3,Oui,0.14,Oui,0,4,24,3,InfraCloud,Occasionnel,0,3
29,F,9980,Divorce,Consulting,TechLead,1,10,10,9,2,4,3,1,3,3,3,Non,0.11,Non,1,1,21,4,InfraCloud,Occasionnel,8,8
32,M,3298,Divorce,Consulting,AssistantdeDirection,0,7,6,2,1,4,1,2,4,2,3,Oui,0.12,Non,2,5,5,2,InfraCloud,Occasionnel,0,5
