genre,revenu_mensuel,annee_experience_totale,annees_dans_l_entreprise,heure_supplementaires,a_quitte_l_entreprise,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,experience_externe,score_satisfaction,augmentation_par_formation,pee_par_anciennete,a_suivi_formation,tranche_age,statut_marital_Celibataire,statut_marital_Divorce,statut_marital_Marie,promotion_recente,poste_AssistantdeDirection,poste_CadreCommercial,poste_Consultant,poste_DirecteurTechnique,poste_Manager,poste_ReprésentantCommercial,poste_RessourcesHumaines,poste_SeniorManager,poste_TechLead
1,5993,8,6,1,1,1,2,1,0,2,3.0,11.0,0.0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0
0,5130,10,10,0,0,8,1,2,1,0,2.5,5.75,0.09090909090909091,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0
0,2090,7,0,1,1,2,2,1,0,7,3.5,3.75,0.0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0
1,2909,8,8,1,0,3,4,2,3,0,3.5,2.75,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,3468,6,2,0,0,2,1,1,2,4,1.5,3.0,0.3333333333333333,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,3068,8,7,0,0,2,2,2,3,1,4.0,4.333333333333333,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2670,12,1,1,0,3,3,1,0,11,2.0,5.0,1.5,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0
0,2693,1,1,0,0,24,1,1,0,0,3.5,7.333333333333333,0.5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,9526,10,9,0,0,23,3,2,1,1,3.5,7.0,0.0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1
0,5237,17,7,0,0,27,3,1,7,10,3.0,3.25,0.25,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,2426,6,5,0,0,16,3,1,0,1,1.5,2.1666666666666665,0.16666666666666666,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
1,4193,10,9,1,0,15,2,1,0,1,3.5,3.0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,2911,5,5,0,0,26,1,1,4,0,2.0,8.5,0.16666666666666666,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,2661,3,2,0,0,19,2,1,1,1,3.0,3.6666666666666665,0.3333333333333333,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0,2028,6,4,1,1,24,3,1,0,2,3.0,2.8,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,9980,10,10,0,0,21,4,1,8,0,1.5,5.5,0.09090909090909091,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3298,7,6,1,0,5,2,1,0,1,1.5,2.0,0.2857142857142857,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2935,1,1,1,0,16,2,0,0,0,4.0,4.333333333333333,1.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,15427,31,25,0,0,2,4,1,3,6,2.5,4.0,0.0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3944,6,3,1,0,2,3,1,1,3,4.0,2.75,0.0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
1,4011,5,4,0,0,11,2,0,1,1,2.0,3.0,0.2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,3407,10,5,0,1,9,4,1,0,5,2.0,4.6,0.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
1,11994,13,12,0,0,7,4,1,2,1,1.5,2.2,0.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1232,0,0,0,0,15,2,1,0,0,3.5,2.0,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,2960,8,4,0,1,6,1,1,1,4,1.5,3.6666666666666665,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,19094,26,14,0,0,5,3,1,4,12,3.0,2.75,0.06666666666666667,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0
1,3919,10,10,1,1,16,1,2,6,0,1.5,3.6666666666666665,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,6825,10,9,0,0,8,4,1,4,1,2.5,3.6666666666666665,0.1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
1,10248,24,22,0,0,7,4,1,5,2,2.5,2.8,0.043478260869565216,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0
1,18947,22,2,0,0,2,4,1,2,20,1.5,4.0,0.0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0
0,2496,7,1,0,0,2,3,1,0,6,3.5,2.75,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,6465,9,4,1,0,10,4,1,1,5,4.0,2.1666666666666665,0.0,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0
0,2206,10,10,0,0,9,2,1,1,0,3.5,2.1666666666666665,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,2086,19,1,0,1,5,3,1,0,18,4.0,2.0,0.5,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0
0,2293,6,2,1,1,1,3,1,2,4,3.0,5.333333333333333,0.3333333333333333,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,2645,6,5,0,0,2,2,1,1,1,3.5,3.0,0.3333333333333333,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2683,3,3,1,1,3,2,1,0,0,2.0,4.666666666666667,0.0,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0
1,2014,2,2,0,0,2,3,1,2,0,4.0,3.25,0.0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1,3419,6,1,1,0,5,4,1,0,5,1.5,3.5,0.5,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
