genre,revenu_mensuel,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente_pourcent,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,experience_externe,score_satisfaction,augmentation_par_formation,pee_par_anciennete,a_suivi_formation,tranche_age,statut_marital_Celibataire,statut_marital_Divorce,statut_marital_Marie,departement_Commercial,departement_Consulting,departement_RessourcesHumaines,poste_AssistantdeDirection,poste_CadreCommercial,poste_Consultant,poste_DirecteurTechnique,poste_Manager,poste_ReprésentantCommercial,poste_RessourcesHumaines,poste_SeniorManager,poste_TechLead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_InfraCloud,domaine_etude_Marketing,domaine_etude_RessourcesHumaines,domaine_etude_TransformationDigitale,promotion_recente,a_quitte_l_entreprise
1,15972,3,2,4,2,3,3,3,0,0.14,2,4,1,1,26,2.5,4.666666666666667,0.75,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,2523,2,3,3,4,3,3,3,0,0.14,2,1,1,2,1,3.25,4.666666666666667,0.3333333333333333,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,17465,12,1,3,3,4,3,3,0,0.12,3,1,1,4,11,2.75,3.0,0.07692307692307693,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,2096,7,2,3,3,3,3,3,0,0.11,13,1,1,0,0,2.75,5.5,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,5679,8,4,3,3,2,3,3,1,0.13,9,5,2,4,2,3.0,3.25,0.1111111111111111,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3464,3,1,1,4,4,2,3,1,0.13,2,4,1,2,2,2.75,2.6,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,2723,1,3,3,4,2,2,3,0,0.11,1,3,1,0,0,2.75,11.0,0.0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,10820,8,3,3,1,3,3,3,0,0.11,27,3,2,0,10,2.5,5.5,0.1111111111111111,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,4639,5,4,3,1,3,3,3,0,0.15,14,2,1,1,0,2.75,5.0,0.16666666666666666,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,5769,6,4,2,4,4,3,3,1,0.11,10,3,1,4,0,3.75,2.75,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3407,5,3,2,1,2,3,4,0,0.23,9,4,1,0,5,2.25,4.6,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1,16124,7,4,2,4,2,2,3,0,0.14,1,3,1,1,2,3.0,4.666666666666667,0.25,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,3697,10,4,3,4,1,3,3,0,0.14,8,4,1,9,2,3.0,3.5000000000000004,0.18181818181818182,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2272,4,1,3,3,2,3,3,0,0.14,20,1,1,1,1,2.25,4.666666666666667,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5343,13,4,2,1,3,3,4,0,0.2,1,3,2,4,1,2.75,5.0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1102,1,2,2,4,3,2,4,0,0.22,2,3,1,1,0,2.75,5.5,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,7978,10,1,3,4,4,3,3,0,0.11,15,3,1,0,0,3.0,3.6666666666666665,0.09090909090909091,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
0,5467,8,3,3,2,3,4,3,0,0.18,14,4,0,1,8,3.0,3.6,0.1111111111111111,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,6929,8,2,4,4,2,2,3,0,0.11,7,3,1,7,2,2.5,2.75,0.1111111111111111,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10673,10,3,2,1,3,2,3,1,0.13,1,3,2,9,11,2.25,2.1666666666666665,0.09090909090909091,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2781,14,1,3,4,2,3,3,0,0.13,9,3,1,4,1,2.5,2.1666666666666665,0.06666666666666667,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,8686,8,1,2,4,3,4,4,0,0.22,1,4,1,0,4,3.0,7.333333333333333,0.0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5914,13,4,3,2,4,4,3,0,0.16,5,2,1,3,3,3.5,4.0,0.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3423,7,4,3,1,3,4,3,0,0.12,1,2,1,5,3,3.0,3.0,0.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,6870,3,2,4,2,1,1,3,0,0.12,5,3,1,1,8,1.5,3.0,0.0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,2678,2,3,4,4,4,3,3,0,0.17,21,3,1,2,0,3.5,5.666666666666667,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,8346,5,1,3,3,3,3,3,0,0.19,5,3,1,0,1,2.5,4.75,0.16666666666666666,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,3065,4,3,3,1,4,4,3,1,0.13,3,2,0,2,0,3.0,3.25,0.2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,17048,26,3,3,1,1,3,4,0,0.23,2,3,1,15,2,2.0,7.666666666666667,0.0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,17584,5,3,3,3,4,2,3,1,0.16,3,4,1,1,16,3.0,2.6666666666666665,0.5,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,2296,1,3,2,1,2,3,3,0,0.14,21,2,1,0,1,2.25,3.5000000000000004,1.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,3149,5,4,3,3,2,3,4,0,0.2,11,4,1,1,4,3.0,5.0,0.16666666666666666,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,2088,8,4,3,2,3,2,3,0,0.12,3,2,2,7,5,2.75,3.0,0.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4025,4,4,2,2,1,3,3,1,0.13,13,2,1,0,6,2.5,4.333333333333333,0.2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,4558,10,3,3,1,4,3,3,0,0.12,17,2,1,1,0,2.75,4.0,0.09090909090909091,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,18880,22,1,3,3,1,2,3,0,0.11,2,3,1,4,2,1.75,3.6666666666666665,0.0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,2380,2,3,3,1,4,3,3,1,0.11,5,1,1,1,0,2.75,1.5714285714285714,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,4941,8,3,2,2,1,2,3,0,0.15,8,4,1,7,3,2.0,3.75,0.0,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,2773,2,1,3,3,4,3,4,0,0.2,6,1,1,2,1,2.75,5.0,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,2979,0,3,2,4,4,3,3,0,0.17,3,4,0,0,6,3.5,5.666666666666667,3.0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,5647,3,3,2,1,1,2,3,0,0.13,16,4,1,0,8,1.75,3.25,0.5,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,13610,7,2,3,3,4,4,3,1,0.12,15,1,1,7,8,3.25,4.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,4775,2,4,2,4,1,1,4,0,0.22,1,2,1,2,2,2.5,7.333333333333333,0.6666666666666666,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,19943,5,4,3,1,4,3,3,0,0.13,4,4,1,4,23,3.0,4.333333333333333,0.16666666666666666,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,6623,6,3,3,4,2,3,3,1,0.11,7,3,1,1,0,3.0,3.6666666666666665,0.2857142857142857,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,6815,1,2,3,3,1,3,3,0,0.13,1,4,1,0,14,2.25,2.1666666666666665,0.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,8628,8,4,3,3,3,2,3,0,0.18,13,4,1,1,1,3.0,6.0,0.1111111111111111,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,4809,16,1,3,3,3,3,3,0,0.14,6,4,1,2,0,2.5,3.5000000000000004,0.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,18740,27,2,2,3,4,2,3,1,0.12,7,2,1,13,2,2.75,4.0,0.03571428571428571,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4855,5,3,3,2,1,3,3,0,0.11,2,3,1,1,2,2.25,3.6666666666666665,0.3333333333333333,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
0,9714,10,2,2,1,4,3,3,0,0.11,1,3,1,6,0,2.5,2.2,0.09090909090909091,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,18213,22,2,3,2,3,3,3,0,0.11,5,3,1,3,4,2.5,1.8333333333333333,0.043478260869565216,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,15202,2,3,2,4,2,3,4,0,0.25,4,5,2,2,21,3.0,6.25,0.3333333333333333,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1,3346,1,2,2,2,2,2,4,1,0.2,9,3,1,0,8,2.0,5.0,0.5,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,4649,4,4,3,3,1,2,3,0,0.14,2,3,0,0,0,2.5,3.5000000000000004,0.2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5337,10,4,4,4,4,3,3,0,0.12,21,4,1,5,0,3.75,3.0,0.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4621,3,1,1,3,4,3,3,0,0.19,8,5,0,1,0,2.75,3.8,0.75,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,6244,5,3,2,3,1,3,3,0,0.17,14,2,1,0,5,2.5,2.4285714285714284,0.0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,5467,6,4,3,4,1,2,3,1,0.14,22,3,2,3,6,2.75,2.8000000000000003,0.2857142857142857,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,7428,5,3,3,4,1,3,3,0,0.12,3,3,1,1,7,2.75,3.0,0.0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,3691,7,4,3,4,2,4,3,1,0.15,4,1,1,5,0,3.5,3.75,0.125,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,4539,10,2,3,3,1,2,3,0,0.12,25,3,2,0,0,2.0,3.0,0.09090909090909091,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
