iter	Passed	Remaining
0	3	1114
1	4	685
2	5	528
3	6	487
4	7	431
5	7	391
6	8	362
7	9	344
8	10	327
9	10	316
10	11	312
11	12	305
12	13	299
13	14	293
14	15	287
15	15	283
16	16	278
17	17	276
18	18	279
19	19	273
20	20	269
21	21	266
22	21	263
23	22	260
24	23	257
25	24	255
26	25	254
27	25	252
28	26	250
29	27	248
30	28	246
31	29	244
32	30	242
33	30	241
34	31	239
35	32	237
36	33	235
37	34	235
38	34	233
39	35	232
40	36	230
41	37	228
42	38	227
43	38	225
44	39	223
45	40	222
46	40	220
47	41	219
48	42	218
49	43	216
50	44	215
51	44	214
52	45	212
53	46	211
54	47	210
55	47	208
56	48	208
57	49	207
58	50	206
59	51	204
60	52	203
61	52	202
62	53	201
63	54	200
64	55	198
65	55	198
66	56	197
67	57	196
68	58	195
69	59	195
70	60	195
71	61	194
72	62	193
73	63	192
74	64	192
75	65	193
76	66	192
77	67	191
78	67	189
79	68	188
80	69	187
81	70	186
82	71	185
83	71	184
84	72	183
85	73	182
86	74	181
87	74	180
88	75	179
89	76	178
90	77	177
91	78	176
92	78	175
93	79	174
94	80	174
95	81	173
96	82	172
97	83	172
98	84	171
99	85	171
100	86	170
101	87	169
102	87	168
103	88	167
104	89	166
105	90	165
106	91	164
107	91	163
108	92	162
109	93	161
110	94	160
111	95	159
112	95	158
113	96	157
114	97	156
115	98	155
116	99	155
117	99	154
118	100	153
119	101	152
120	102	151
121	102	150
122	103	149
123	104	148
124	105	147
125	106	146
126	107	146
127	107	145
128	108	144
129	109	143
130	110	142
131	111	141
132	112	140
133	113	140
134	113	139
135	114	138
136	115	137
137	116	136
138	117	135
139	117	134
140	118	133
141	119	133
142	120	132
143	121	131
144	122	130
145	123	129
146	123	128
147	124	128
148	125	127
149	126	126
150	126	125
151	128	124
152	129	124
153	129	123
154	130	122
155	131	121
156	132	120
157	133	119
158	133	118
159	134	117
160	135	117
161	136	116
162	137	115
163	138	114
164	138	113
165	139	112
166	140	111
167	141	110
168	141	109
169	142	109
170	143	108
171	144	107
172	145	106
173	146	105
174	146	104
175	147	104
176	148	103
177	149	102
178	150	101
179	150	100
180	151	99
181	152	98
182	153	98
183	154	97
184	154	96
185	155	95
186	156	94
187	157	93
188	158	92
189	159	92
190	159	91
191	160	90
192	161	89
193	162	88
194	163	87
195	163	86
196	164	86
197	165	85
198	166	84
199	167	83
200	167	82
201	168	81
202	169	80
203	170	80
204	171	79
205	172	78
206	173	78
207	174	77
208	175	76
209	176	75
210	177	74
211	178	74
212	179	73
213	180	72
214	181	71
215	181	70
216	182	69
217	183	68
218	184	68
219	185	67
220	185	66
221	186	65
222	187	64
223	188	63
224	189	63
225	190	62
226	192	61
227	192	60
228	193	60
229	194	59
230	195	58
231	197	57
232	198	56
233	199	56
234	199	55
235	200	54
236	201	53
237	202	52
238	203	51
239	203	50
240	204	50
241	205	49
242	206	48
243	207	47
244	208	46
245	209	46
246	210	45
247	211	44
248	212	43
249	213	42
250	214	41
251	214	40
252	215	40
253	216	39
254	217	38
255	218	37
256	219	36
257	219	35
258	220	34
259	221	34
260	222	33
261	223	32
262	224	31
263	225	30
264	225	29
265	226	28
266	227	28
267	228	27
268	229	26
269	229	25
270	230	24
271	231	23
272	232	22
273	233	22
274	234	21
275	234	20
276	235	19
277	236	18
278	237	17
279	238	17
280	239	16
281	240	15
282	240	14
283	241	13
284	242	12
285	243	11
286	243	11
287	244	10
288	245	9
289	246	8
290	247	7
291	247	6
292	248	5
293	249	5
294	250	4
295	251	3
296	251	2
297	253	1
298	254	0
299	255	0
